wave,date,country_code,context,issue,pct
EB105.2,2026-03-01,IT,cntry,environment,8
EB101.3,2024-04-01,LT,cntry,environment,5
EB102.2,2024-10-01,LT,cntry,environment,4
EB103.3,2025-03-01,LT,cntry,environment,2
EB104.1,2025-10-01,LT,cntry,environment,1
EB105.2,2026-03-01,LT,cntry,environment,2
EB101.3,2024-04-01,LU,cntry,environment,10
EB102.2,2024-10-01,LU,cntry,environment,10
EB103.3,2025-03-01,LU,cntry,environment,6
EB104.1,2025-10-01,LU,cntry,environment,6
EB105.2,2026-03-01,LU,cntry,environment,5
EB101.3,2024-04-01,LV,cntry,environment,3
EB102.2,2024-10-01,LV,cntry,environment,1
EB103.3,2025-03-01,LV,cntry,environment,1
EB104.1,2025-10-01,LV,cntry,environment,1
EB105.2,2026-03-01,LV,cntry,environment,1
EB101.3,2024-04-01,MD,cntry,environment,2
EB102.2,2024-10-01,MD,cntry,environment,2
EB103.3,2025-03-01,MD,cntry,environment,4
EB104.1,2025-10-01,MD,cntry,environment,4
EB105.2,2026-03-01,MD,cntry,environment,2
EB101.3,2024-04-01,ME,cntry,environment,8
EB102.2,2024-10-01,ME,cntry,environment,14.000000000000002
EB103.3,2025-03-01,ME,cntry,environment,8
EB104.1,2025-10-01,ME,cntry,environment,2
EB105.2,2026-03-01,ME,cntry,environment,11
EB101.3,2024-04-01,MK,cntry,environment,3
EB102.2,2024-10-01,MK,cntry,environment,4
EB103.3,2025-03-01,MK,cntry,environment,5
EB104.1,2025-10-01,MK,cntry,environment,4
EB105.2,2026-03-01,MK,cntry,environment,3
EB101.3,2024-04-01,MT,cntry,environment,25
EB102.2,2024-10-01,MT,cntry,environment,21
EB103.3,2025-03-01,MT,cntry,environment,18
EB104.1,2025-10-01,MT,cntry,environment,26
EB105.2,2026-03-01,MT,cntry,environment,14.000000000000002
EB101.3,2024-04-01,NL,cntry,environment,36
EB102.2,2024-10-01,NL,cntry,environment,36
EB103.3,2025-03-01,NL,cntry,environment,22
EB104.1,2025-10-01,NL,cntry,environment,18
EB105.2,2026-03-01,NL,cntry,environment,13
EB101.3,2024-04-01,PL,cntry,environment,9
EB102.2,2024-10-01,PL,cntry,environment,10
EB103.3,2025-03-01,PL,cntry,environment,6
EB104.1,2025-10-01,PL,cntry,environment,6
EB105.2,2026-03-01,PL,cntry,environment,6
